County,Positive Cases,Date
Albany,123,2020-03-22
Allegany,2,2020-03-22
Broome,3,2020-03-22
Chenango,3,2020-03-22
Clinton,4,2020-03-22
Columbia,5,2020-03-22
Cortland,1,2020-03-22
Delaware,3,2020-03-22
Dutchess,82,2020-03-22
Erie,54,2020-03-22
Essex,3,2020-03-22
Fulton,1,2020-03-22
Genesee,1,2020-03-22
Greene,2,2020-03-22
Hamilton,2,2020-03-22
Herkimer,4,2020-03-22
Jefferson,1,2020-03-22
Livingston,2,2020-03-22
Madison,1,2020-03-22
Monroe,57,2020-03-22
Montgomery,3,2020-03-22
Nassau,1900,2020-03-22
Niagara,6,2020-03-22
New York City,9045,2020-03-22
Oneida,5,2020-03-22
Onondaga,29,2020-03-22
Ontario,6,2020-03-22
Orange,247,2020-03-22
Putnam,37,2020-03-22
Rensselaer,26,2020-03-22
Rockland,455,2020-03-22
Saratoga,41,2020-03-22
Schenectady,39,2020-03-22
Schoharie,1,2020-03-22
St Lawrence,1,2020-03-22
Steuben,3,2020-03-22
Suffolk,1034,2020-03-22
Sullivan,16,2020-03-22
Tioga,1,2020-03-22
Tompkins,13,2020-03-22
Ulster,26,2020-03-22
Warren,1,2020-03-22
Washington,1,2020-03-22
Wayne,3,2020-03-22
Westchester,1873,2020-03-22
Wyoming,2,2020-03-22
