County,Positive Cases,Date
Westchester,121,2020-03-11
Nassau,28,2020-03-11
Suffolk,6,2020-03-11
Rockland,6,2020-03-11
Saratoga,2,2020-03-11
Ulster,1,2020-03-11
New York City,52,2020-03-11
