County,Positive Cases,Date
Albany,23,2020-03-17
Allegany,2,2020-03-17
Broome,1,2020-03-17
Clinton,1,2020-03-17
Delaware,1,2020-03-17
Dutchess,16,2020-03-17
Erie,7,2020-03-17
Greene,2,2020-03-17
Herkimer,1,2020-03-17
Monroe,10,2020-03-17
Montgomery,1,2020-03-17
Nassau,131,2020-03-17
Onondaga,2,2020-03-17
Ontario,1,2020-03-17
Orange,15,2020-03-17
Putnam,2,2020-03-17
Rensselaer,1,2020-03-17
Rockland,22,2020-03-17
Saratoga,9,2020-03-17
Schenectady,5,2020-03-17
Suffolk,84,2020-03-17
Sullivan,1,2020-03-17
Tioga,1,2020-03-17
Tompkins,2,2020-03-17
Ulster,8,2020-03-17
Westchester,380,2020-03-17
Wyoming,1,2020-03-17
New York City,644,2020-03-17
