County,Positive Cases,Date
Westchester,98,2020-03-09
Nassau,17,2020-03-09
Rockland,4,2020-03-09
Saratoga,2,2020-03-09
Suffolk,1,2020-03-09
Ulster,1,2020-03-09
New York City,19,2020-03-09
