County,Positive Cases,Date
Westchester,108,2020-03-10
Nassau,19,2020-03-10
Rockland,6,2020-03-10
Saratoga,2,2020-03-10
Suffolk,1,2020-03-10
Ulster,1,2020-03-10
New York City,36,2020-03-10
