County,Positive Cases,Date
Westchester,220,2020-03-16
Nassau,109,2020-03-16
Suffolk,63,2020-03-16
Rockland,16,2020-03-16
Albany,12,2020-03-16
Orange,11,2020-03-16
Dutchess,10,2020-03-16
Monroe,10,2020-03-16
Ulster,7,2020-03-16
Saratoga,5,2020-03-16
Erie,6,2020-03-16
Schenectady,4,2020-03-16
Greene,2,2020-03-16
Putnam,2,2020-03-16
Allegany,2,2020-03-16
Broome,1,2020-03-16
Delaware,1,2020-03-16
Herkimer,1,2020-03-16
Tioga,1,2020-03-16
Tompkins,1,2020-03-16
Montgomery,1,2020-03-16
Onondaga,1,2020-03-16
Ontario,1,2020-03-16
New York City,463,2020-03-16
