County,Positive Cases,Date
Albany,8,2020-03-15
Broome,1,2020-03-15
Delaware,1,2020-03-15
Dutchess,7,2020-03-15
Erie,3,2020-03-15
Greene,2,2020-03-15
Herkimer,1,2020-03-15
Monroe,2,2020-03-15
Montgomery,1,2020-03-15
Nassau,98,2020-03-15
Orange,6,2020-03-15
Putnam,2,2020-03-15
Rockland,13,2020-03-15
Saratoga,3,2020-03-15
Schenectady,2,2020-03-15
Suffolk,47,2020-03-15
Tioga,1,2020-03-15
Tompkins,1,2020-03-15
Ulster,5,2020-03-15
Westchester,196,2020-03-15
New York City,329,2020-03-15
