County,Positive Cases,Date
Albany,195,2020-03-28
Allegany,2,2020-03-28
Broome,23,2020-03-28
Cattaraugus,1,2020-03-28
Cayuga,2,2020-03-28
Chautauqua,5,2020-03-28
Chemung,12,2020-03-28
Chenango,8,2020-03-28
Clinton,12,2020-03-28
Columbia,22,2020-03-28
Cortland,5,2020-03-28
Delaware,8,2020-03-28
Dutchess,262,2020-03-28
Erie,318,2020-03-28
Essex,4,2020-03-28
Franklin,4,2020-03-28
Fulton,1,2020-03-28
Genesee,7,2020-03-28
Greene,7,2020-03-28
Hamilton,2,2020-03-28
Herkimer,9,2020-03-28
Jefferson,6,2020-03-28
Livingston,5,2020-03-28
Madison,19,2020-03-28
Monroe,192,2020-03-28
Montgomery,5,2020-03-28
Nassau,5537,2020-03-28
Niagara,33,2020-03-28
New York City,29766,2020-03-28
Oneida,23,2020-03-28
Onondaga,129,2020-03-28
Ontario,16,2020-03-28
Orange,1101,2020-03-28
Orleans,3,2020-03-28
Oswego,7,2020-03-28
Otsego,7,2020-03-28
Putnam,131,2020-03-28
Rensselaer,38,2020-03-28
Rockland,1896,2020-03-28
Saratoga,96,2020-03-28
Schenectady,72,2020-03-28
Schoharie,5,2020-03-28
Schuyler,1,2020-03-28
St Lawrence,8,2020-03-28
Steuben,13,2020-03-28
Suffolk,4138,2020-03-28
Sullivan,72,2020-03-28
Tioga,4,2020-03-28
Tompkins,45,2020-03-28
Ulster,128,2020-03-28
Warren,13,2020-03-28
Washington,6,2020-03-28
Wayne,12,2020-03-28
Westchester,7875,2020-03-28
Wyoming,7,2020-03-28
