County,Positive Cases,Date
Albany,146,2020-03-24
Allegany,2,2020-03-24
Broome,7,2020-03-24
Cayuga,2,2020-03-24
Chenango,3,2020-03-24
Clinton,6,2020-03-24
Columbia,10,2020-03-24
Cortland,2,2020-03-24
Delaware,3,2020-03-24
Dutchess,124,2020-03-24
Erie,107,2020-03-24
Essex,3,2020-03-24
Fulton,1,2020-03-24
Genesee,1,2020-03-24
Greene,4,2020-03-24
Hamilton,2,2020-03-24
Herkimer,4,2020-03-24
Jefferson,2,2020-03-24
Livingston,3,2020-03-24
Madison,4,2020-03-24
Monroe,96,2020-03-24
Montgomery,3,2020-03-24
Nassau,2869,2020-03-24
Niagara,10,2020-03-24
New York City,14904,2020-03-24
Oneida,7,2020-03-24
Onondaga,52,2020-03-24
Ontario,6,2020-03-24
Orange,498,2020-03-24
Oswego,1,2020-03-24
Otsego,1,2020-03-24
Putnam,45,2020-03-24
Rensselaer,29,2020-03-24
Rockland,671,2020-03-24
Saratoga,53,2020-03-24
Schenectady,44,2020-03-24
Schoharie,1,2020-03-24
St Lawrence,1,2020-03-24
Steuben,4,2020-03-24
Suffolk,1880,2020-03-24
Sullivan,23,2020-03-24
Tioga,1,2020-03-24
Tompkins,15,2020-03-24
Ulster,35,2020-03-24
Warren,2,2020-03-24
Washington,3,2020-03-24
Wayne,6,2020-03-24
Westchester,3891,2020-03-24
Wyoming,4,2020-03-24
