County,Positive Cases,Date
Westchester,178,2020-03-14
Nassau,79,2020-03-14
Suffolk,41,2020-03-14
Rockland,12,2020-03-14
Orange,6,2020-03-14
Albany,5,2020-03-14
Ulster,5,2020-03-14
Dutchess,4,2020-03-14
Erie,3,2020-03-14
Saratoga,3,2020-03-14
Monroe,2,2020-03-14
Broom,1,2020-03-14
Delaware,1,2020-03-14
Herkimer,1,2020-03-14
Schenectady,1,2020-03-14
Tioga,1,2020-03-14
Tompkins,1,2020-03-14
New York City,269,2020-03-14
